trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.15, 'e': 0.8930063446890767}",30,0,-108.25362585788179,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.15, 'e': 0.8157251001253574}",25,0,-52.284547683233775,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.15, 'e': 0.7201244284117941}",30,15,-57.92311983377491,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 0}",1
48,False,"{'a': 0.15, 'e': 0.6083513145322552}",20,12,12.098651721926442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.15, 'e': 0.4829159416559378}",25,7,-85.93044074776847,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.15, 'e': 0.3466353178350258}",20,0,12.06317581492854,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.15, 'e': 0.2025700120769452}",20,3,-39.2170775515912,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
52,False,"{'a': 0.15, 'e': 0.05395542056264975}",20,6,21.6646955773794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.15, 'e': 0.09587089337649693}",25,18,14.658337357558349,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.15, 'e': 0.2435441537357911}",20,0,-28.55033798409642,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.15, 'e': 0.3857479374522218}",30,21,11.048626717947053,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.15, 'e': 0.5192886541166856}",25,10,4.561373164116087,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.15, 'e': 0.6411672671296005}",25,0,-87.01622575720167,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.15, 'e': 0.7486466455973987}",20,0,-169.23480448414242,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
59,False,"{'a': 0.15, 'e': 0.8393130343914837}",25,0,-97.95203744750711,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.15, 'e': 0.9111302618846769}",20,1,-1.5580294476330825,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.15, 'e': 0.9624854679762374}",20,0,-147.06187428745184,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.15, 'e': 0.9922253254526032}",20,4,-109.7358654323695,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
63,False,"{'a': 0.15, 'e': 0.9996819412301848}",20,0,-40.33419652305555,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.15, 'e': 0.984687855794127}",25,0,-161.70074138946984,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.15, 'e': 0.9475798039779932}",20,0,-139.90536552971304,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.15, 'e': 0.8891911526253609}",30,14,-94.59250815942657,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 2}",1
67,False,"{'a': 0.15, 'e': 0.8108331849671477}",30,0,-112.88079120898462,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.15, 'e': 0.7142656520272002}",20,0,-87.87034594280337,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
69,False,"{'a': 0.15, 'e': 0.601657252408102}",25,0,-111.8246630392457,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.15, 'e': 0.47553692799599256}",20,0,2.215220692457068,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.15, 'e': 0.33873706937788134}",20,2,-54.88848300397264,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
72,False,"{'a': 0.15, 'e': 0.19432990645533654}",20,3,-32.05251451137807,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
73,False,"{'a': 0.15, 'e': 0.0455585127842237}",20,4,23.856256630180027,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.15, 'e': 0.10423602686569687}",20,6,21.08999271100366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.15, 'e': 0.2516896500717544}",35,17,27.725331766282913,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
